,Residuals
0,0.00289822046709709
1,0.007936522415406877
2,0.006090663837794885
3,0.026983559145927316
4,0.025635603650993488
5,0.02860692462765524
6,0.02608768911617343
7,0.022386765416481325
8,0.021608019980427606
9,0.019869412460792546
10,0.021459513168579747
11,0.027882383537627398
12,0.021184714966935303
13,0.024353624021738796
14,0.024784004847951735
15,0.02381375306426392
16,0.023676056240205412
17,0.019922670776979956
18,0.02044020179833872
19,0.021968542233807398
20,0.028527263293991467
21,0.029852366849590695
22,0.030128625250693375
23,0.03153264946566736
24,0.029695012098580165
25,0.03098731313420089
26,0.03349024406041323
27,0.04536418939169273
28,0.0465310799207721
29,0.05445388185973776
30,0.05137546385899405
31,0.04887994560009368
32,0.049356077627207284
33,0.053175121477163856
34,0.047203470822502425
35,0.04744143473701534
36,0.042697197278402044
37,0.03646911966080246
38,0.033983840503825746
39,0.019983354907259
40,0.012169160508099353
41,0.0002778411177004614
42,-0.008518014871318869
43,-0.013843717726526705
44,-0.01910091554841742
45,-0.022275101565849553
46,-0.02551813961284921
47,-0.028428924850073756
48,-0.03163522043987044
49,-0.03484111549232338
50,-0.03183678239719079
51,-0.027788644169572052
52,-0.03250077127333206
53,-0.03155289882500867
54,-0.025295111069334908
55,-0.022603646134625066
56,-0.02079084368119588
57,-0.015010171428096797
58,-0.011522760304121249
59,-0.013588249834393551
60,-0.012537533780470511
61,-0.010323477745229681
62,-0.01146292687156425
63,-0.009130499988005525
64,-0.011822473550799018
65,-0.007099423414304695
66,0.0005979875078754304
67,0.0047054846034164655
68,0.010781859407597238
69,0.011767895450324417
70,0.0060050834601756975
71,0.004929412588113635
72,0.0034331959872879736
73,0.006602607261690707
74,0.008722673833297279
75,0.012941155366105406
76,0.007781559764627133
77,0.004210825321086631
78,0.003489556831102192
79,0.0050422420290736625
80,0.004260755834447849
81,0.002180453742852251
82,0.0032310562768920192
83,0.0035617109062417995
84,0.003666175716972475
85,-0.0031451447626125173
86,-0.0061619289837970825
87,-0.009569042098700464
88,-0.009266126423222332
89,-0.005858390061053598
90,-0.005430566778851897
91,-0.0136125236879856
92,-0.011295492317696443
93,-0.009718901774176558
94,-0.00786556789115167
95,-0.0030306558029522535
96,0.0009041234408293519
97,0.01708664255587955
98,0.030698369683182847
99,0.04121875861914148
100,0.058576124124725126
101,0.061963920191820065
102,0.05796880263866022
103,0.05956255762395024
104,0.049761687144476596
105,0.04094469244620136
106,0.03369146117521993
107,0.04391142191422759
108,0.043296777952059884
109,0.04856505535774147
110,0.0480424854147099
111,0.04632150184417583
112,0.04598133647265712
113,0.04301507262064419
114,0.0391456817066711
115,0.03677559034321298
116,0.033948804589325476
117,0.014565109690517275
118,0.01057729447639666
119,0.009224550192177716
120,0.0034158040458169836
121,-0.0012492636794956269
122,-0.0034453123551951848
123,-0.0036254733684337737
124,0.005966330672041664
125,0.006370767692249757
126,0.009514414140765481
127,0.006871370855508374
128,0.0018385921335841715
129,0.0015658759197876293
130,0.0042956560222666695
131,-0.0023174906330520884
132,-0.003980648074486837
133,-0.0070976750512290465
134,-0.006893775124224177
135,-0.0032130290270799833
136,-0.008897775087033821
137,-0.004425457528943966
138,-0.008259548479841783
139,-0.008770429948810943
140,-0.013418443352120946
141,-0.01725981826332834
142,-0.013005715687841146
143,-0.016430072311688804
144,-0.013179866489480219
145,-0.015730236010984555
146,-0.016985060300228838
147,-0.01331946820588037
148,-0.019385257980465198
149,-0.0160206603464097
150,-0.013615112034861099
151,-0.016840528664525678
152,-0.016768483524334243
153,-0.0062153358612313525
154,0.013802440778173164
155,0.015002170837332685
156,0.011892608310571262
157,0.014656378334358067
158,0.019579752227473435
159,0.033949945817019156
160,0.045531232797074495
161,0.05000901711993855
162,0.038898252806401246
163,0.03567191870893893
164,0.024838478311597356
165,0.027466615832926422
166,0.02990469200896939
167,0.03192383004987853
168,0.022873920915445822
169,0.022941509674847538
170,0.026472995534025046
171,0.019814812403895488
172,0.011181984911612375
173,-0.009789624133690111
174,-0.010154375094851176
175,-0.0028494679037560644
176,-0.0007915975533556718
177,-0.0023298181025062092
178,-0.005163870829230532
179,-0.005091848988730163
180,-0.006328571007996331
181,-0.0007346736243114549
182,-0.004754193500625448
183,-0.008577075317646177
184,-0.010465796429283358
185,-0.015310365383218283
186,-0.015467877377581374
187,-0.01837285249345122
188,-0.018175362922645988
189,-0.019453571267805003
190,-0.019862469141061823
191,-0.023511954163527804
192,-0.024535511277369082
193,-0.026561915120169033
194,-0.021967545799199684
195,-0.019555332330694952
196,-0.020162309341847262
197,-0.022612683852436533
198,-0.02257758119069564
199,-0.021182721365526902
200,-0.02175983619855515
201,-0.022163745205169505
202,-0.025189862449053635
203,-0.021853387818220327
204,-0.019659593924666652
205,-0.018716932625322258
206,-0.019228009551280678
207,-0.017968634366617664
208,-0.014692476839591961
209,-0.013942134744072021
210,-0.007889846787502819
211,-0.01588823290132879
212,-0.019408429027157226
213,-0.025183545179995548
214,-0.024458521784810117
215,-0.022940625460332598
216,-0.02212066205192187
217,-0.027000660001711196
218,-0.014047040213108986
219,-0.011610921071220304
220,-0.005180510816410688
221,-0.004881655687089648
222,-0.009539231154613859
223,-0.012561868990518477
224,-0.010388557405413223
225,-0.0073765358240631684
226,-0.006254893797491334
227,-0.006832031171132513
228,-0.011636519408533275
229,-0.012986287173642808
230,-0.013963899589201745
231,-0.013716293874825425
232,-0.014120725820495394
233,-0.017753915947334775
234,-0.016137526487908005
235,-0.01824620689465206
236,-0.020943527023165487
237,-0.024366759123060078
238,-0.02535279912744315
239,-0.03320319694661222
240,-0.03208697930908855
241,-0.033063375349410506
242,-0.038453626245019024
243,-0.03839196639219189
244,-0.03871169371503136
245,-0.03808006043226797
246,-0.03650852313290365
247,-0.04073183487774479
248,-0.039309516545939616
249,-0.036978148556695345
250,-0.03519660304814565
251,-0.034855068409376244
252,-0.03468025361370586
253,-0.03337227774213147
254,-0.03090241197200072
255,-0.02233379692734694
256,-0.022040718348726784
257,-0.02086228456296979
258,-0.02493321469144938
259,-0.021333717505111593
260,-0.014222656364689001
261,-0.010683146553315481
262,-0.006923921887334927
263,-0.005529577587914503
264,0.00025587529172277357
265,0.0060221101318038706
266,0.011186630263532393
267,0.013670709253919
268,0.018407827326884174
269,0.024966772946987348
270,0.0241777723769232
271,0.01786192053745239
272,0.00856226613860045
273,0.004841650974158895
274,0.007868821726358277
275,0.005793845557256816
276,0.012369502012241185
277,0.022728091066268163
278,0.02358805305919809
279,0.028090682912939258
280,0.023882385576657228
281,0.025350945889057286
282,0.02683832062539615
283,0.030677485619236222
284,0.0355390912638498
285,0.03654690912649983
286,0.04377813974139855
287,0.04971450428528179
288,0.05245870773209482
289,0.055747644378334016
290,0.059824514633637804
291,0.05921647405912367
292,0.055670727585585666
293,0.04685453717457122
294,0.050910838745162224
295,0.05852739368822668
296,0.06071680508760835
297,0.05287243757411808
298,0.053566782307122196
299,0.05001247151860966
300,0.054271782503247934
301,0.048296661781479955
302,0.04172430714574027
303,0.03740081179780219
304,0.04110558793536434
305,0.043138936068046974
306,0.04527324745761874
307,0.04040797163633236
308,0.0419153401744321
309,0.040695538158841416
310,0.04017810892467999
311,0.04574214955113831
312,0.053274356780546483
313,0.05454528375557999
314,0.052939545370787044
315,0.056274526802642555
316,0.05584619947677005
317,0.056366216770692645
318,0.05344662635080688
319,0.04706793275146559
320,0.04620236024101487
321,0.04429477904974988
322,0.043626896395682735
323,0.04526166541118215
324,0.0529682606151507
325,0.05707710184637804
326,0.057989649983220204
327,0.055287354639391495
328,0.055169529628869896
329,0.05518486156907443
330,0.04835073965473846
331,0.04155912327460953
332,0.036626734787374104
333,0.036719386498011986
334,0.04288188666925841
335,0.014243557745285074
336,0.0018811315793190175
337,0.014055586839527123
338,0.022399053582894624
339,0.02678563536498757
340,0.028065724910634415
341,0.03128060401144239
342,0.028589941623405224
343,0.029667204134621983
344,0.03124344411240898
345,0.030497082100289674
346,0.028298562216171774
347,0.030989142207740628
348,0.03413232765358387
349,0.04115892665766907
350,0.04352642230527337
351,0.04130380817026591
352,0.037828300379485924
353,0.03717513208514589
354,0.036250252404498085
355,0.033190831870580695
356,0.03181516608353796
357,0.026791774696587112
358,0.026833171785648702
359,0.03144093288812044
360,0.03104781096755893
361,0.024345097193327447
362,0.022865845761829817
363,0.024274658097468205
